Cover,Title,Artist,Year,Format
"freedom-of-choice.jpg",Freedom of Choice,Devo,1980,LP
"stained-class.jpg",Stained Class,Judas Priest,1978,LP
"dirty-mind.jpg",Dirty Mind,Prince,1980,LP
"lost-themes.jpg",Lost Themes,John Carpenter,2015,LP
"blunderbuss.jpg",Blunderbuss,Jack White,2012,LP
"joysticks.jpg",Joysticks (soundtrack),Ray Kenetsky and Legion,2016 (movie 1983),LP
"man-child.jpg",Man-Child,Herbie Hancock,1975,LP
"thrust.jpg",Thrust,Herbie Hancock,1974,LP
"romantic-warrior.jpg",Romantic Warrior,Return to Forever,1976,LP
"shaft.jpg",Shaft (soundtrack),Isaac Hayes,1971,LP
"if-you-want-blood.jpg",If You Want Blood…,AC/DC,1978,LP
"man-of-la-mancha.jpg",Man of La Mancha (soundtrack),Mitch Leigh and Cast,1972,LP
"back-to-oakland.jpg",Back to Oakland,Tower of Power,1974,LP
"frampton-comes-alive.jpg",Frampton Comes Alive,Peter Frampton,1976,LP
"on-the-threshold-of-a-dream.jpg",On the Threshold of a Dream,The Moody Blues,1969,LP
"fear-of-music.jpg",Fear of Music,Talking Heads,1979,LP
"south-of-the-border.jpg",South of the Border,Herb Alpert and the Tijuana Brass,1964,LP
"godspell.jpg",Godspell (soundtrack),Stephen Schwartz and Cast,1972,LP
"run-with-the-pack.jpg",Run with the Pack,Bad Company,1976,LP
"in-search-of-the-lost-chord.jpg",In Search of the Lost Chord,The Moody Blues,1968,LP
"all-the-worlds-a-stage.jpg",All the World's a Stage,Rush,1976,LP
"fragile.jpg",Fragile,Yes,1971,LP
"seventh-sojourn.gif",Seventh Sojourn,The Moody Blues,1972,LP
"the-best-of-mancini.jpg",The Best of Mancini,Henry Mancini,1964,LP
"rise.jpg",Rise,Radiant Reveries,2016,LP
"hello-dolly.jpg","Hello, Dolly (soundtrack)",Jerry Herman and Cast,1964,LP
"is-it-something-i-said.jpg",…Is it Something I Said?,Richard Pryor,1975,LP
"animals.jpg",Animals,Pink Flyod,1977,LP
"be-yourself-tonight.jpg",Be Yourself Tonight,Eurythmics,1985,LP
"catch-a-fire.jpg",Catch a Fire,Bob Marley and the Wailers,1973,LP
"boston.png",Boston,Boston,1976,LP
"west-side-story.jpeg",West Side Story,Bernstein and Sondheim,1957,LP
"my-fair-lady.jpg",My Fair Lady,Loewe and Lerner,1956,LP
"music-man.jpg",The Music Man, Meredith Willson,1957,LP
"diamond-life.jpg",Diamond Life,Sade,1984,LP
"darkness-on-the-edge-of-town.jpg",Darkness on the Edge of Town,Bruce Springstein,1978,LP
"susperia.jpg",Suspiria (soundtrack),Goblin,1977,LP
"calypso.jpg",Calypso,Harry Belafonte,1956,LP
"capacity.jpg",Capacity,Big Thief,2017,LP
"vol-4.jpg",Vol 4,Black Sabbath,1972,LP
"jaco.jpg",Jaco Pastorious,Jaco Pastorious,1976,LP
"black-market.jpg",Black Market,Weather Report,1976,LP
"close-encounters.jpg",Close Encounters of the Third Kind (Soundtrack),John Williams,1977,LP
"hello-dummy.jpg",Hello Dummy!,Don Rickles,1968,LP
"wild-planet.jpg",Wild Planet,the B52s,1980,LP
chronic-town.jpg,Chronic Town,R.E.M.,1982,EP
screaming-vengeance.jpg,Screaming for Vengeance,Judas Priest,1982,LP
"el-rey.jpg",El Rey,Tito Puente,1984,LP
"every-good-boy-deserves-favour.jpg",Every Good Boy Deserves Favour,The Moody Blues,1971,LP
"robbie-robertson.jpg",Robbie Robertson,Robbie Robertson,1987,LP
"long-distance-voyager.jpg",Long Distance Voyager,The Moody Blues,1981,LP
"octave.jpg",Octave,The Moody Blues,1978,LP
"a-question-of-balance.jpg",A Question of Balance,The Moody Blues,1970,LP
"mudhoney-live-at-third-man-records.png",Live at Third Man Records,Mudhoney,2013,LP
"sea-of-cowards.jpg",Sea of Cowards,The Dead Weather,2010,LP
"brittany-ruby.jpg",I Wonder,Brittany Howard and Ruby Amanfu,2013,45
"what-can-i-do.jpg",What Can I Do?,The Black Belles,2009,45
"my-bubba.jpg",Gone,My Bubba,2017,45
"jack-white-electric-mayhem.png",You Are The Sunshine Of My Life,Jack White and The Electric Mayhem,2016,45
"over-and-over-and-over.png",Over And Over And Over (Limited Edition),Jack White,2018,45
"connected-by-love.jpg",Connected by Love,Jack White,2018,45
"shes-all-right.jpg",She's All Right,Muddy Waters,1953,45
"and-they-call-me-mad.jpg",And They Call Me Mad?,Conan O'Brien,2010,45
"elviras-theme-song.jpg",Elvira's Movie Macabre Theme Song,The Black Belles,2010,45
"charlene-2.jpg",Charlene II (I'm Over You),Stephen Colbert with The Black Belles,2009,45
"honky-tonk-horror.jpg",Honky Tonk Horror,The Black Belles,2011,45
"wishing-well.jpg",Wishing Well,The Black Belles,2009,45
"treat-me-like-your-mother.jpg",Treat Me Like Your Mother,The Dead Weather,2009,45
"hang-you-from-the-heavens.jpg",Hang You From The Heavens,The Dead Weather,2009,45
"i-cut-like-a-buffalo.jpg",I Cut Like a Buffalo,The Dead Weather,2009,45
"fly-by-night.jpg",Fly by Night,Rush,1975,LP
"fly-farm-blues.jpg",Fly Farm Blues,Jack White,2009,45
"die-by-the-drop.png",Die By The Drop,The Dead Weather,2010,45
"blue-blooded-blues.jpg",Blue Blooded Blues,The Dead Weather,2010,45
"young-and-rich.jpg",Young and Rich,The Tubes,1976,LP
"angel.jpg",Angel,Ohio Players,1977,LP
"raw-power.jpg",Raw Power,The Stooges,1973,LP
"made-in-rome.jpg",Made in Rome,Various Artists,1965,LP
"oliver.jpg",Oliver! (soundtrack),Lionel Bart,1968,LP
"duty-now-for-the-future.jpeg",Duty Now For The Future,Devo,1979,LP
